dataset,n_estimators,train_error,test_error
covertype,66,0.3754166666666667,0.375
covertype,67,0.39395833333333335,0.4125
covertype,68,0.3770833333333333,0.385
covertype,69,0.3775,0.385
covertype,70,0.37875,0.38
covertype,71,0.3804166666666667,0.3825
covertype,72,0.36041666666666666,0.36083333333333334
covertype,73,0.3752083333333333,0.38083333333333336
covertype,74,0.38333333333333336,0.38416666666666666
covertype,75,0.38458333333333333,0.38666666666666666
covertype,76,0.3616666666666667,0.36333333333333334
covertype,77,0.3616666666666667,0.36333333333333334
covertype,78,0.3697916666666667,0.37666666666666665
covertype,79,0.38916666666666666,0.3883333333333333
covertype,80,0.4,0.3933333333333333
covertype,81,0.363125,0.3641666666666667
covertype,82,0.356875,0.3575
covertype,83,0.36375,0.36
covertype,84,0.3933333333333333,0.385
covertype,85,0.3720833333333333,0.3725
covertype,86,0.3541666666666667,0.355
covertype,87,0.3564583333333333,0.3591666666666667
covertype,88,0.37875,0.37583333333333335
covertype,89,0.3852083333333333,0.38083333333333336
covertype,90,0.3745833333333333,0.38
covertype,91,0.36791666666666667,0.3725
covertype,92,0.37145833333333333,0.37583333333333335
covertype,93,0.3975,0.39416666666666667
covertype,94,0.40458333333333335,0.3958333333333333
covertype,95,0.3910416666666667,0.38166666666666665
covertype,96,0.37875,0.36083333333333334
covertype,97,0.38729166666666665,0.37
covertype,98,0.4033333333333333,0.395
covertype,99,0.3879166666666667,0.3775
covertype,100,0.3935416666666667,0.3858333333333333
covertype,101,0.38333333333333336,0.37666666666666665
covertype,102,0.38708333333333333,0.38
covertype,103,0.381875,0.36583333333333334
covertype,104,0.3885416666666667,0.3725
covertype,105,0.39791666666666664,0.39666666666666667
covertype,106,0.384375,0.36666666666666664
covertype,107,0.379375,0.36333333333333334
covertype,108,0.385,0.3675
covertype,109,0.38895833333333335,0.37333333333333335
covertype,110,0.398125,0.3958333333333333
covertype,111,0.38625,0.36833333333333335
covertype,112,0.38166666666666665,0.365
covertype,113,0.3875,0.37
covertype,114,0.38708333333333333,0.37
covertype,115,0.38,0.37
covertype,116,0.3852083333333333,0.36333333333333334
covertype,117,0.39375,0.37583333333333335
covertype,118,0.398125,0.37583333333333335
covertype,119,0.3852083333333333,0.37833333333333335
covertype,120,0.39145833333333335,0.36083333333333334
covertype,121,0.40708333333333335,0.38416666666666666
covertype,122,0.40270833333333333,0.37833333333333335
covertype,123,0.406875,0.3825
covertype,124,0.38895833333333335,0.3591666666666667
covertype,125,0.39645833333333336,0.36833333333333335
covertype,126,0.3935416666666667,0.36916666666666664
covertype,127,0.40041666666666664,0.3858333333333333
covertype,128,0.40791666666666665,0.39166666666666666
covertype,129,0.39625,0.375
covertype,130,0.40020833333333333,0.3825
covertype,131,0.4195833333333333,0.4125
covertype,132,0.40166666666666667,0.38
covertype,133,0.40375,0.38166666666666665
covertype,134,0.391875,0.365
covertype,135,0.395625,0.37
covertype,136,0.409375,0.4041666666666667
covertype,137,0.39479166666666665,0.36833333333333335
covertype,138,0.39979166666666666,0.37166666666666665
covertype,139,0.39395833333333335,0.37166666666666665
covertype,140,0.39416666666666667,0.36
covertype,141,0.40625,0.3875
covertype,142,0.386875,0.35333333333333333
covertype,143,0.38895833333333335,0.355
covertype,144,0.384375,0.3541666666666667
covertype,145,0.3960416666666667,0.37333333333333335
covertype,146,0.41291666666666665,0.405
covertype,147,0.416875,0.4075
covertype,148,0.3925,0.36666666666666664
covertype,149,0.395,0.36916666666666664
covertype,150,0.398125,0.36833333333333335
covertype,151,0.416875,0.4058333333333333
covertype,152,0.3954166666666667,0.37
covertype,153,0.39229166666666665,0.3641666666666667
covertype,154,0.39645833333333336,0.37166666666666665
covertype,155,0.4014583333333333,0.3725
covertype,156,0.41458333333333336,0.4125
covertype,157,0.39916666666666667,0.3908333333333333
covertype,158,0.39,0.36
covertype,159,0.391875,0.3616666666666667
covertype,160,0.395,0.36333333333333334
covertype,161,0.40291666666666665,0.37916666666666665
covertype,162,0.3960416666666667,0.37416666666666665
covertype,163,0.4164583333333333,0.41333333333333333
covertype,164,0.39145833333333335,0.36666666666666664
covertype,165,0.41020833333333334,0.4058333333333333
covertype,166,0.41270833333333334,0.4083333333333333
covertype,167,0.4175,0.41833333333333333
covertype,168,0.40291666666666665,0.38083333333333336
covertype,169,0.3935416666666667,0.37083333333333335
covertype,170,0.396875,0.375
covertype,171,0.4089583333333333,0.3925
covertype,172,0.41125,0.3983333333333333
covertype,173,0.4164583333333333,0.39166666666666666
covertype,174,0.4214583333333333,0.3975
covertype,175,0.40958333333333335,0.38666666666666666
covertype,176,0.399375,0.37666666666666665
covertype,177,0.40229166666666666,0.38
covertype,178,0.39958333333333335,0.3825
covertype,179,0.40458333333333335,0.39416666666666667
covertype,180,0.395,0.37333333333333335
covertype,181,0.42,0.41083333333333333
covertype,182,0.40270833333333333,0.38333333333333336
covertype,183,0.4035416666666667,0.3858333333333333
covertype,184,0.3954166666666667,0.37416666666666665
covertype,185,0.41208333333333336,0.4033333333333333
covertype,186,0.40979166666666667,0.39916666666666667
covertype,187,0.41083333333333333,0.4008333333333333
covertype,188,0.404375,0.4
covertype,189,0.39125,0.36916666666666664
